loss,acc,val_loss,val_acc
0.7907246918905348,67.1875,0.6181846261024475,74.0625
0.6780219276746114,68.75,0.6237223029136658,75.3125
0.6400814567293439,71.35417,0.5994712114334106,75.3125
0.6445384110723223,71.35417,0.6321260333061218,69.0625
0.6397286426453364,70.98215,0.5923555016517639,75.625
0.6367211937904358,70.014885,0.6064903855323791,75.9375
0.6287162758055187,72.247025,0.6106864452362061,75.3125
0.6429329911867777,71.35417,0.5982851266860962,75.9375
0.6277527326629275,71.27976,0.600480318069458,75.9375
0.626914211681911,71.65179,0.6071838140487671,75.3125
0.6320539088476271,71.72619,0.5922678232192993,76.25
0.6293973582131522,72.47024,0.6040289282798768,74.375
0.6258680479867118,71.42857,0.5945160388946533,75.625
0.6167891082309541,73.958336,0.5941475749015808,75.3125
0.6226723790168762,72.54465,0.6051887750625611,76.875
0.6183687391735259,71.8006,0.5936195731163025,75.3125
0.6149330422991798,74.18155,0.5942935347557068,76.5625
0.6193725920858837,72.54465,0.5981706023216248,76.25
0.6127295891443888,73.51191,0.5944352626800538,75.625
0.6157514225868952,73.28869,0.5983010292053222,75.3125
0.6142362923849196,73.73512,0.5942872047424317,76.25
0.6166531102997916,73.139885,0.5945915460586548,76.25
0.6174483725002834,72.84226,0.6040050864219666,75.625
0.6378686342920575,72.84226,0.5945722699165344,76.875
0.6153125081743512,73.4375,0.5939320683479309,76.25
0.611632471992856,74.03274,0.5975643992424011,76.25
0.6170968015988668,72.84226,0.6009660005569458,75.0
0.6115121727898007,73.58631,0.595180070400238,76.25
0.6207802097002665,72.47024,0.5949911117553711,75.9375
0.6147008850460961,73.88393,0.5944965243339538,75.625
0.6115544182913644,73.66071,0.5927069425582886,76.5625
0.6232909134456089,72.395836,0.5983483076095581,76.25
0.6133260499863398,74.47917,0.597619092464447,75.625
0.6157803648994082,73.3631,0.5967401504516602,76.25
0.6111899018287659,73.4375,0.5935829758644104,76.875
0.616299447559175,73.21429,0.5926543235778808,76.5625
0.6054818005788893,74.77679,0.5920613765716553,76.25
0.6176950335502625,72.247025,0.5933115005493164,75.625
0.6071785489718119,73.73512,0.5896138429641724,75.625
0.6166035845166161,72.54465,0.5958294749259949,75.3125
0.6105477412541708,73.73512,0.587610948085785,76.5625
0.6062027045658657,73.58631,0.5834034562110901,75.625
0.5886651220775786,75.89286,0.588012421131134,76.875
0.5806138941219875,77.083336,0.603515362739563,72.1875
